Timestamp,Frame,Gaze_Direction,Gaze_Ratio
0.29,0,CENTER,0.509
0.35,1,CENTER,0.499
0.38,2,CENTER,0.516
0.40,3,CENTER,0.481
0.41,4,CENTER,0.483
0.43,5,CENTER,0.492
0.46,6,CENTER,0.476
0.49,7,CENTER,0.469
0.52,8,CENTER,0.469
0.55,9,CENTER,0.516
0.58,10,CENTER,0.511
0.62,11,CENTER,0.517
0.65,12,CENTER,0.523
0.68,13,CENTER,0.523
0.72,14,CENTER,0.501
0.76,15,CENTER,0.506
0.80,16,CENTER,0.507
0.82,17,CENTER,0.509
0.86,18,CENTER,0.500
0.89,19,CENTER,0.493
0.92,20,CENTER,0.485
0.95,21,CENTER,0.492
0.99,22,CENTER,0.509
1.02,23,CENTER,0.493
1.05,24,CENTER,0.492
1.10,25,CENTER,0.485
1.13,26,CENTER,0.478
1.16,27,CENTER,0.485
1.20,28,CENTER,0.459
1.22,29,CENTER,0.486
1.25,30,CENTER,0.473
1.29,31,CENTER,0.426
1.32,32,CENTER,0.469
1.35,33,CENTER,0.469
1.38,34,CENTER,0.493
1.40,35,CENTER,0.491
1.46,36,CENTER,0.488
1.49,37,CENTER,0.500
1.52,38,CENTER,0.500
1.56,39,CENTER,0.478
1.59,40,CENTER,0.492
1.62,41,CENTER,0.476
1.66,42,CENTER,0.475
1.70,43,CENTER,0.477
1.72,44,CENTER,0.471
1.75,45,CENTER,0.462
1.77,46,CENTER,0.462
1.80,47,CENTER,0.468
1.83,48,CENTER,0.468
1.90,49,CENTER,0.469
1.93,50,CENTER,0.469
1.96,51,CENTER,0.478
1.99,52,CENTER,0.469
2.02,53,CENTER,0.470
2.06,54,CENTER,0.494
2.09,55,CENTER,0.461
2.10,56,CENTER,0.462
2.12,57,CENTER,0.485
2.17,58,CENTER,0.486
2.20,59,CENTER,0.471
2.23,60,CENTER,0.485
2.30,61,CENTER,0.476
2.33,62,CENTER,0.477
2.36,63,CENTER,0.485
2.40,64,CENTER,0.483
2.43,65,CENTER,0.491
2.46,66,CENTER,0.478
2.48,67,CENTER,0.461
2.49,68,CENTER,0.459
2.53,69,CENTER,0.482
2.56,70,CENTER,0.460
2.60,71,CENTER,0.500
2.66,72,CENTER,0.491
2.69,73,CENTER,0.500
2.74,74,CENTER,0.492
2.76,75,CENTER,0.501
2.79,76,CENTER,0.500
2.82,77,CENTER,0.493
2.84,78,CENTER,0.499
2.87,79,CENTER,0.479
2.90,80,CENTER,0.486
2.93,81,CENTER,0.487
2.97,82,CENTER,0.494
3.00,83,CENTER,0.486
3.03,84,CENTER,0.485
3.10,85,CENTER,0.509
3.14,86,CENTER,0.503
3.16,87,CENTER,0.505
3.17,88,CENTER,0.489
3.19,89,CENTER,0.490
3.24,90,CENTER,0.483
3.27,91,CENTER,0.482
3.30,92,CENTER,0.500
3.33,93,CENTER,0.507
3.37,94,CENTER,0.507
3.40,95,CENTER,0.505
3.43,96,CENTER,0.515
3.49,97,CENTER,0.506
3.53,98,CENTER,0.515
3.54,99,CENTER,0.513
3.56,100,CENTER,0.522
3.61,101,CENTER,0.523
3.66,102,CENTER,0.515
3.68,103,CENTER,0.507
3.70,104,CENTER,0.492
3.74,105,CENTER,0.498
3.77,106,CENTER,0.514
3.80,107,CENTER,0.521
3.83,108,CENTER,0.538
3.91,109,CENTER,0.535
3.93,110,CENTER,0.522
3.95,111,CENTER,0.528
3.98,112,CENTER,0.514
4.01,113,CENTER,0.499
4.04,114,CENTER,0.483
4.07,115,CENTER,0.475
4.11,116,CENTER,0.483
4.14,117,CENTER,0.482
4.17,118,CENTER,0.457
4.20,119,CENTER,0.435
4.23,120,CENTER,0.475
4.27,121,CENTER,0.475
4.31,122,CENTER,0.457
4.34,123,CENTER,0.464
4.38,124,CENTER,0.482
4.41,125,CENTER,0.464
4.44,126,CENTER,0.482
4.47,127,CENTER,0.447
4.50,128,CENTER,0.473
4.54,129,CENTER,0.447
4.57,130,CENTER,0.496
4.60,131,CENTER,0.503
