Timestamp,Frame,Raw_gaze,Smooth_gaze,Horiz_Pos,Vert_Pos,Warmup_Frames
0.000,0,WARMUP,WARMUP,0.465,9.190,NONE
0.100,1,WARMUP,WARMUP,0.465,11.865,NONE
0.200,2,WARMUP,WARMUP,0.469,13.559,NONE
0.300,3,WARMUP,WARMUP,0.468,14.027,NONE
0.400,4,WARMUP,WARMUP,0.465,14.152,NONE
0.500,5,UP,UP,0.465,14.131,NONE
0.600,6,UP,UP,0.461,14.054,NONE
0.700,7,UP,UP,0.464,14.154,NONE
0.800,8,UP,UP,0.464,14.073,NONE
0.900,9,UP,UP,0.463,14.114,NONE
1.000,10,CENTER,UP,0.462,13.964,NONE
1.100,11,CENTER,UP,0.464,13.963,NONE
1.200,12,UP,UP,0.461,14.152,NONE
1.300,13,UP,UP,0.463,14.207,NONE
1.400,14,UP,UP,0.462,14.144,NONE
1.500,15,UP,UP,0.460,14.228,NONE
1.600,16,UP,UP,0.461,14.098,NONE
1.700,17,UP,UP,0.465,14.400,NONE
1.800,18,UP,UP,0.467,14.829,NONE
1.900,19,UP,UP,0.468,14.604,NONE
2.000,20,UP,UP,0.466,14.448,NONE
2.100,21,UP,UP,0.465,14.722,NONE
2.200,22,UP,UP,0.464,14.466,NONE
2.300,23,UP,UP,0.464,14.360,NONE
2.400,24,UP,UP,0.465,14.544,NONE
2.500,25,UP,UP,0.465,14.505,NONE
2.600,26,CENTER,UP,0.459,13.637,NONE
2.700,27,DOWN,UP,0.476,10.784,NONE
2.800,28,DOWN,UP,0.478,6.982,NONE
2.900,29,DOWN,UP,0.483,4.371,NONE
3.000,30,DOWN,DOWN,0.459,3.476,NONE
3.100,31,DOWN,DOWN,0.455,4.520,NONE
3.200,32,DOWN,DOWN,0.447,7.358,NONE
3.300,33,DOWN,DOWN,0.446,9.251,NONE
3.400,34,DOWN,DOWN,0.452,10.604,NONE
3.500,35,DOWN,DOWN,0.457,11.575,NONE
3.600,36,CENTER,DOWN,0.460,12.249,NONE
3.700,37,CENTER,DOWN,0.465,12.715,NONE
3.800,38,CENTER,DOWN,0.466,12.947,NONE
3.900,39,CENTER,CENTER,0.466,13.230,NONE
4.000,40,CENTER,CENTER,0.464,13.317,NONE
4.100,41,CENTER,CENTER,0.462,13.521,NONE
4.200,42,CENTER,CENTER,0.461,13.501,NONE
4.300,43,CENTER,CENTER,0.467,13.570,NONE
4.400,44,CENTER,CENTER,0.469,13.486,NONE
4.500,45,CENTER,CENTER,0.467,13.510,NONE
4.600,46,CENTER,CENTER,0.466,13.802,NONE
4.700,47,CENTER,CENTER,0.465,13.882,NONE
4.800,48,UP,CENTER,0.464,14.088,NONE
4.900,49,UP,CENTER,0.464,14.233,NONE
5.000,50,UP,CENTER,0.465,14.067,NONE
5.100,51,UP,UP,0.463,14.122,NONE
5.200,52,UP,UP,0.460,14.173,NONE
5.300,53,UP,UP,0.462,14.134,NONE
5.400,54,CENTER,UP,0.462,13.858,NONE
5.500,55,CENTER,UP,0.462,13.835,NONE
5.600,56,UP,UP,0.465,14.102,NONE
5.700,57,UP,UP,0.463,14.108,NONE
5.800,58,UP,UP,0.462,14.103,NONE
5.900,59,UP,UP,0.465,14.301,NONE
6.000,60,UP,UP,0.465,14.056,NONE
6.100,61,UP,UP,0.466,14.048,NONE
6.200,62,UP,UP,0.467,14.207,NONE
6.300,63,UP,UP,0.467,14.085,NONE
6.400,64,UP,UP,0.468,14.221,NONE
6.500,65,UP,UP,0.469,14.222,NONE
6.600,66,UP,UP,0.468,14.156,NONE
6.700,67,UP,UP,0.471,14.203,NONE
6.800,68,UP,UP,0.470,14.571,NONE
6.900,69,UP,UP,0.469,14.522,NONE
7.000,70,UP,UP,0.467,14.388,NONE
7.100,71,UP,UP,0.470,14.186,NONE
7.200,72,CENTER,UP,0.463,13.592,NONE
7.300,73,DOWN,UP,0.477,11.189,NONE
7.400,74,DOWN,UP,0.478,6.954,NONE
7.500,75,DOWN,UP,0.486,5.149,NONE
7.600,76,DOWN,DOWN,0.476,3.779,NONE
7.700,77,DOWN,DOWN,0.470,3.214,NONE
7.800,78,DOWN,DOWN,0.462,3.075,NONE
7.900,79,DOWN,DOWN,0.457,4.166,NONE
