Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,CENTER,0.509,14.916
0.050,1,CENTER,0.507,14.893
0.100,2,CENTER,0.511,14.876
0.150,3,CENTER,0.513,14.905
0.200,4,CENTER,0.508,14.514
0.250,5,CENTER,0.507,14.557
0.300,6,CENTER,0.503,14.614
0.350,7,CENTER,0.504,14.907
0.400,8,CENTER,0.504,14.641
0.450,9,CENTER,0.501,14.887
0.500,10,CENTER,0.514,15.221
0.550,11,CENTER,0.513,15.054
0.600,12,CENTER,0.502,14.939
0.650,13,CENTER,0.505,15.108
0.700,14,CENTER,0.519,15.173
0.750,15,CENTER,0.517,14.898
0.800,16,CENTER,0.524,15.445
0.850,17,CENTER,0.515,15.095
0.900,18,CENTER,0.529,15.189
0.950,19,CENTER,0.562,14.039
1.000,20,CENTER,0.580,14.452
1.050,21,CENTER,0.571,14.880
1.100,22,CENTER,0.577,15.226
1.150,23,CENTER,0.576,15.327
1.200,24,CENTER,0.587,14.371
1.250,25,CENTER,0.597,15.169
1.300,26,CENTER,0.594,15.805
1.350,27,CENTER,0.595,15.361
1.400,28,CENTER,0.595,16.353
1.450,29,CENTER,0.597,16.176
1.500,30,LEFT,0.608,16.368
1.550,31,LEFT,0.614,16.577
1.600,32,LEFT,0.610,16.933
1.650,33,LEFT,0.615,16.830
1.700,34,LEFT,0.611,16.423
1.750,35,LEFT,0.608,16.787
1.800,36,LEFT,0.623,16.378
1.850,37,LEFT,0.613,16.806
1.900,38,LEFT,0.615,16.965
1.950,39,LEFT,0.606,17.055
2.000,40,LEFT,0.607,16.976
2.050,41,LEFT,0.607,16.374
2.100,42,LEFT,0.606,16.523
2.150,43,LEFT,0.601,16.574
2.200,44,LEFT,0.609,16.313
2.250,45,LEFT,0.610,16.498
2.300,46,LEFT,0.611,16.461
2.350,47,LEFT,0.610,16.477
2.400,48,LEFT,0.610,16.791
2.450,49,LEFT,0.611,16.727
2.500,50,LEFT,0.601,16.523
2.550,51,CENTER,0.592,16.732
2.600,52,CENTER,0.593,16.777
2.650,53,CENTER,0.590,16.532
2.700,54,CENTER,0.596,16.397
2.750,55,CENTER,0.587,16.618
2.800,56,CENTER,0.589,16.772
2.850,57,CENTER,0.587,16.981
2.900,58,CENTER,0.589,16.441
2.950,59,CENTER,0.588,16.571
3.000,60,CENTER,0.596,17.186
3.050,61,CENTER,0.592,16.673
3.100,62,CENTER,0.588,16.357
3.150,63,CENTER,0.594,16.967
3.200,64,CENTER,0.592,16.843
3.250,65,CENTER,0.598,16.113
3.300,66,CENTER,0.595,16.799
3.350,67,CENTER,0.595,17.095
3.400,68,CENTER,0.597,17.044
3.450,69,CENTER,0.597,16.789
3.500,70,CENTER,0.532,16.453
3.550,71,CENTER,0.481,16.786
3.600,72,RIGHT,0.435,16.187
3.650,73,RIGHT,0.435,16.788
3.700,74,RIGHT,0.434,16.380
3.750,75,RIGHT,0.427,16.700
3.800,76,RIGHT,0.428,16.790
3.850,77,RIGHT,0.423,16.920
3.900,78,RIGHT,0.420,16.919
3.950,79,RIGHT,0.413,17.315
4.000,80,RIGHT,0.412,17.127
4.050,81,RIGHT,0.418,17.240
4.100,82,RIGHT,0.411,17.484
4.150,83,RIGHT,0.411,17.270
4.200,84,RIGHT,0.405,17.229
4.250,85,RIGHT,0.412,17.498
4.300,86,RIGHT,0.411,17.596
4.350,87,RIGHT,0.420,17.214
4.400,88,RIGHT,0.412,17.335
4.450,89,RIGHT,0.410,17.146
4.500,90,RIGHT,0.420,17.361
4.550,91,RIGHT,0.415,17.701
4.600,92,RIGHT,0.411,17.682
4.650,93,RIGHT,0.419,17.394
4.700,94,RIGHT,0.404,17.408
4.750,95,RIGHT,0.410,17.412
4.800,96,RIGHT,0.411,17.456
4.850,97,RIGHT,0.406,17.747
4.900,98,RIGHT,0.420,16.910
4.950,99,RIGHT,0.424,14.484
5.000,100,RIGHT,0.428,14.463
5.050,101,RIGHT,0.432,13.752
5.100,102,RIGHT,0.429,14.194
5.150,103,RIGHT,0.431,13.855
5.200,104,RIGHT,0.435,13.950
5.250,105,RIGHT,0.439,13.732
5.300,106,RIGHT,0.434,13.319
5.350,107,RIGHT,0.420,13.748
5.400,108,RIGHT,0.434,13.326
5.450,109,RIGHT,0.427,13.395
5.500,110,RIGHT,0.425,13.298
5.550,111,RIGHT,0.428,13.891
5.600,112,RIGHT,0.427,13.754
5.650,113,RIGHT,0.427,13.456
5.700,114,RIGHT,0.434,13.786
5.750,115,RIGHT,0.428,13.389
5.800,116,RIGHT,0.421,13.339
5.850,117,RIGHT,0.425,13.160
5.900,118,RIGHT,0.424,13.017
5.950,119,RIGHT,0.425,13.253
6.000,120,RIGHT,0.424,12.961
6.050,121,RIGHT,0.425,13.047
6.100,122,RIGHT,0.424,13.768
6.150,123,RIGHT,0.422,13.317
6.200,124,RIGHT,0.432,13.187
6.250,125,RIGHT,0.427,13.550
6.300,126,RIGHT,0.425,12.969
6.350,127,RIGHT,0.422,13.256
6.400,128,RIGHT,0.429,12.736
6.450,129,RIGHT,0.435,12.620
6.500,130,RIGHT,0.429,13.141
6.550,131,RIGHT,0.425,12.717
