Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,CENTER,0.518,13.476
0.100,1,CENTER,0.517,13.891
0.200,2,CENTER,0.516,13.486
0.300,3,CENTER,0.514,13.155
0.400,4,CENTER,0.505,13.509
0.500,5,CENTER,0.504,13.194
0.600,6,CENTER,0.510,13.734
0.700,7,CENTER,0.502,13.507
0.800,8,CENTER,0.508,13.332
0.900,9,CENTER,0.507,13.311
1.000,10,CENTER,0.508,13.605
1.100,11,CENTER,0.506,13.295
1.200,12,CENTER,0.512,13.550
1.300,13,CENTER,0.504,13.598
1.400,14,CENTER,0.507,12.831
1.500,15,CENTER,0.510,13.535
1.600,16,CENTER,0.499,13.399
1.700,17,CENTER,0.500,13.268
1.800,18,CENTER,0.506,13.411
1.900,19,CENTER,0.507,13.269
2.000,20,CENTER,0.510,13.394
2.100,21,CENTER,0.514,13.177
2.200,22,CENTER,0.503,13.208
2.300,23,CENTER,0.504,13.161
2.400,24,CENTER,0.502,13.441
2.500,25,CENTER,0.502,13.168
2.600,26,CENTER,0.512,13.193
2.700,27,CENTER,0.515,13.429
2.800,28,CENTER,0.508,13.210
2.900,29,CENTER,0.507,13.666
3.000,30,CENTER,0.499,13.154
3.100,31,CENTER,0.510,13.145
3.200,32,CENTER,0.508,13.389
3.300,33,CENTER,0.509,13.227
3.400,34,CENTER,0.504,13.031
3.500,35,CENTER,0.506,13.028
3.600,36,CENTER,0.503,13.035
3.700,37,CENTER,0.508,13.355
3.800,38,CENTER,0.501,13.070
3.900,39,CENTER,0.503,13.094
4.000,40,CENTER,0.506,13.305
4.100,41,CENTER,0.510,13.252
4.200,42,CENTER,0.511,13.111
4.300,43,CENTER,0.505,13.438
4.400,44,CENTER,0.507,13.387
4.500,45,CENTER,0.508,13.309
4.600,46,CENTER,0.509,13.286
4.700,47,CENTER,0.501,13.732
4.800,48,CENTER,0.503,13.024
4.900,49,CENTER,0.505,13.352
5.000,50,CENTER,0.508,13.250
5.100,51,CENTER,0.506,13.179
5.200,52,CENTER,0.505,13.497
5.300,53,CENTER,0.502,13.261
5.400,54,CENTER,0.511,13.371
5.500,55,CENTER,0.508,13.461
5.600,56,CENTER,0.510,13.535
5.700,57,CENTER,0.506,13.364
5.800,58,CENTER,0.507,13.405
5.900,59,CENTER,0.512,12.992
6.000,60,DOWN,0.519,6.307
6.100,61,DOWN,0.535,6.985
6.200,62,DOWN,0.499,9.199
6.300,63,DOWN,0.516,10.313
6.400,64,DOWN,0.506,11.052
6.500,65,DOWN,0.507,11.473
6.600,66,CENTER,0.506,12.102
6.700,67,CENTER,0.510,11.840
6.800,68,CENTER,0.504,12.131
6.900,69,CENTER,0.506,12.195
7.000,70,CENTER,0.506,12.599
7.100,71,CENTER,0.505,12.125
7.200,72,CENTER,0.514,12.679
7.300,73,CENTER,0.512,12.600
7.400,74,CENTER,0.508,12.693
7.500,75,CENTER,0.507,12.770
7.600,76,CENTER,0.505,12.503
7.700,77,CENTER,0.507,13.118
7.800,78,CENTER,0.506,13.052
7.900,79,CENTER,0.503,13.058
8.000,80,CENTER,0.512,12.629
8.100,81,CENTER,0.509,13.325
8.200,82,CENTER,0.504,12.748
8.300,83,CENTER,0.503,13.113
8.400,84,CENTER,0.511,13.488
8.500,85,CENTER,0.507,13.473
8.600,86,CENTER,0.509,13.256
8.700,87,CENTER,0.505,12.943
8.800,88,CENTER,0.506,12.821
8.900,89,CENTER,0.511,13.184
9.000,90,CENTER,0.511,13.027
9.100,91,CENTER,0.506,12.798
9.200,92,CENTER,0.504,12.953
9.300,93,CENTER,0.504,13.040
9.400,94,CENTER,0.505,12.883
9.500,95,CENTER,0.509,13.255
9.600,96,CENTER,0.505,13.491
9.700,97,CENTER,0.506,12.970
9.800,98,DOWN,0.508,10.278
9.900,99,DOWN,0.507,10.562
10.000,100,DOWN,0.535,7.152
10.100,101,DOWN,0.503,7.383
10.200,102,DOWN,0.500,8.381
10.300,103,DOWN,0.504,10.008
10.400,104,DOWN,0.505,11.019
10.500,105,DOWN,0.508,11.056
10.600,106,CENTER,0.509,11.660
10.700,107,CENTER,0.509,12.147
10.800,108,CENTER,0.513,11.960
10.900,109,CENTER,0.507,11.845
11.000,110,CENTER,0.505,12.014
11.100,111,CENTER,0.505,12.154
11.200,112,CENTER,0.509,12.248
11.300,113,CENTER,0.513,12.270
11.400,114,CENTER,0.508,12.239
11.500,115,CENTER,0.509,12.322
11.600,116,CENTER,0.507,12.424
11.700,117,CENTER,0.506,12.520
11.800,118,CENTER,0.511,12.754
11.900,119,CENTER,0.508,12.909
12.000,120,CENTER,0.513,12.947
12.100,121,CENTER,0.510,13.062
12.200,122,CENTER,0.509,12.908
12.300,123,CENTER,0.517,13.130
12.400,124,CENTER,0.514,13.226
12.500,125,CENTER,0.506,13.286
12.600,126,CENTER,0.510,13.051
12.700,127,CENTER,0.507,13.118
12.800,128,CENTER,0.510,13.121
12.900,129,CENTER,0.508,12.828
13.000,130,CENTER,0.503,12.866
13.100,131,CENTER,0.503,12.981
13.200,132,CENTER,0.504,13.454
13.300,133,CENTER,0.505,13.020
13.400,134,CENTER,0.518,13.386
13.500,135,CENTER,0.510,13.620
13.600,136,CENTER,0.504,12.839
13.700,137,CENTER,0.510,13.306
13.800,138,CENTER,0.510,13.507
13.900,139,CENTER,0.510,12.787
14.000,140,CENTER,0.513,13.148
14.100,141,CENTER,0.508,13.372
14.200,142,CENTER,0.506,13.080
14.300,143,CENTER,0.504,13.098
