Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,CENTER,0.509,12.937
0.050,1,CENTER,0.511,13.768
0.100,2,CENTER,0.509,13.058
0.150,3,CENTER,0.503,12.916
0.200,4,CENTER,0.510,12.858
0.250,5,CENTER,0.507,13.056
0.300,6,CENTER,0.509,13.177
0.350,7,CENTER,0.508,13.512
0.400,8,CENTER,0.501,13.198
0.450,9,CENTER,0.509,13.654
0.500,10,CENTER,0.518,13.452
0.550,11,CENTER,0.508,13.639
0.600,12,CENTER,0.513,13.674
0.650,13,CENTER,0.508,13.524
0.700,14,CENTER,0.504,13.662
0.750,15,CENTER,0.507,13.699
0.800,16,CENTER,0.508,13.735
0.850,17,CENTER,0.509,13.982
0.900,18,CENTER,0.511,13.591
0.950,19,CENTER,0.508,13.688
1.000,20,CENTER,0.510,13.665
1.050,21,CENTER,0.514,13.843
1.100,22,CENTER,0.508,14.235
1.150,23,CENTER,0.505,13.662
1.200,24,CENTER,0.512,14.347
1.250,25,CENTER,0.510,13.842
1.300,26,CENTER,0.512,13.859
1.350,27,CENTER,0.512,13.936
1.400,28,CENTER,0.506,13.833
1.450,29,CENTER,0.510,13.832
1.500,30,CENTER,0.511,13.559
1.550,31,CENTER,0.502,13.882
1.600,32,CENTER,0.505,13.596
1.650,33,CENTER,0.506,13.830
1.700,34,CENTER,0.509,13.970
1.750,35,CENTER,0.511,13.899
1.800,36,CENTER,0.510,13.750
1.850,37,CENTER,0.505,13.544
1.900,38,CENTER,0.509,13.881
1.950,39,CENTER,0.513,13.863
2.000,40,CENTER,0.507,13.704
2.050,41,CENTER,0.506,13.902
2.100,42,CENTER,0.497,13.982
2.150,43,CENTER,0.502,13.965
2.200,44,CENTER,0.503,13.736
2.250,45,CENTER,0.502,13.844
2.300,46,CENTER,0.505,13.805
2.350,47,CENTER,0.500,13.848
2.400,48,CENTER,0.511,13.887
2.450,49,CENTER,0.510,14.238
2.500,50,CENTER,0.507,13.903
2.550,51,CENTER,0.508,13.219
2.600,52,CENTER,0.516,13.977
2.650,53,CENTER,0.509,13.519
2.700,54,CENTER,0.504,13.775
2.750,55,CENTER,0.507,13.784
2.800,56,CENTER,0.505,13.763
2.850,57,CENTER,0.506,13.825
2.900,58,CENTER,0.508,14.146
2.950,59,CENTER,0.510,13.470
3.000,60,CENTER,0.501,13.586
3.050,61,CENTER,0.512,14.277
3.100,62,CENTER,0.503,13.743
3.150,63,CENTER,0.510,13.768
3.200,64,CENTER,0.508,13.432
3.250,65,CENTER,0.508,13.518
3.300,66,CENTER,0.510,13.595
3.350,67,CENTER,0.509,13.614
3.400,68,CENTER,0.507,13.627
3.450,69,CENTER,0.509,13.708
3.500,70,CENTER,0.505,13.563
3.550,71,CENTER,0.506,13.965
3.600,72,CENTER,0.512,13.893
3.650,73,CENTER,0.510,13.561
3.700,74,CENTER,0.539,13.267
3.750,75,CENTER,0.583,13.373
3.800,76,CENTER,0.578,13.096
3.850,77,CENTER,0.580,13.159
3.900,78,CENTER,0.581,13.300
3.950,79,CENTER,0.589,13.679
4.000,80,CENTER,0.589,13.418
4.050,81,CENTER,0.593,13.286
4.100,82,CENTER,0.600,14.051
4.150,83,CENTER,0.596,13.928
4.200,84,CENTER,0.597,13.899
4.250,85,CENTER,0.592,14.263
4.300,86,CENTER,0.598,14.058
4.350,87,CENTER,0.594,14.163
4.400,88,CENTER,0.594,13.847
4.450,89,LEFT,0.604,13.887
4.500,90,LEFT,0.607,13.915
4.550,91,LEFT,0.605,14.016
4.600,92,LEFT,0.601,14.225
4.650,93,CENTER,0.599,13.731
4.700,94,LEFT,0.603,13.778
4.750,95,LEFT,0.608,14.182
4.800,96,LEFT,0.605,14.020
4.850,97,CENTER,0.598,13.788
4.900,98,LEFT,0.608,13.795
4.950,99,LEFT,0.611,13.703
5.000,100,LEFT,0.609,14.039
5.050,101,LEFT,0.602,13.884
