Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,DOWN,0.507,10.683
0.100,1,DOWN,0.510,10.858
0.200,2,DOWN,0.506,10.901
0.300,3,DOWN,0.503,11.300
0.400,4,DOWN,0.505,11.023
0.500,5,DOWN,0.505,11.042
0.600,6,DOWN,0.506,11.173
0.700,7,DOWN,0.507,10.927
0.800,8,DOWN,0.507,10.916
0.900,9,DOWN,0.511,11.219
1.000,10,DOWN,0.509,10.873
1.100,11,DOWN,0.510,10.979
1.200,12,DOWN,0.506,10.829
1.300,13,DOWN,0.503,10.854
1.400,14,DOWN,0.507,11.387
1.500,15,DOWN,0.502,11.003
1.600,16,DOWN,0.503,10.917
1.700,17,DOWN,0.506,10.972
1.800,18,DOWN,0.510,11.062
1.900,19,DOWN,0.507,11.238
2.000,20,DOWN,0.509,11.005
2.100,21,DOWN,0.505,11.309
2.200,22,DOWN,0.501,11.284
2.300,23,DOWN,0.501,11.230
2.400,24,DOWN,0.509,11.175
2.500,25,DOWN,0.506,11.242
2.600,26,DOWN,0.512,10.957
2.700,27,DOWN,0.513,10.784
2.800,28,DOWN,0.509,11.347
2.900,29,DOWN,0.514,11.169
3.000,30,DOWN,0.511,11.322
3.100,31,DOWN,0.509,11.262
3.200,32,DOWN,0.512,11.129
3.300,33,DOWN,0.507,10.999
3.400,34,DOWN,0.505,10.991
3.500,35,DOWN,0.506,11.093
3.600,36,DOWN,0.504,10.987
3.700,37,DOWN,0.506,11.147
3.800,38,DOWN,0.505,11.150
3.900,39,DOWN,0.511,10.982
4.000,40,DOWN,0.512,10.876
4.100,41,DOWN,0.511,10.811
4.200,42,DOWN,0.510,10.683
4.300,43,DOWN,0.510,11.006
4.400,44,DOWN,0.512,10.925
4.500,45,DOWN,0.506,10.858
4.600,46,DOWN,0.507,10.825
4.700,47,DOWN,0.509,10.895
4.800,48,DOWN,0.509,10.518
4.900,49,DOWN,0.504,10.869
5.000,50,DOWN,0.504,11.078
5.100,51,DOWN,0.500,10.842
5.200,52,DOWN,0.502,10.760
5.300,53,DOWN,0.503,10.874
5.400,54,DOWN,0.508,10.863
5.500,55,DOWN,0.510,10.806
5.600,56,DOWN,0.509,10.908
5.700,57,DOWN,0.510,11.001
5.800,58,DOWN,0.511,11.000
5.900,59,DOWN,0.508,10.861
6.000,60,DOWN,0.502,11.160
6.100,61,DOWN,0.507,11.031
6.200,62,DOWN,0.506,11.352
6.300,63,DOWN,0.507,10.979
6.400,64,DOWN,0.504,10.943
6.500,65,DOWN,0.503,10.932
6.600,66,DOWN,0.505,10.887
6.700,67,DOWN,0.504,11.011
6.800,68,DOWN,0.504,11.039
6.900,69,DOWN,0.512,11.345
7.000,70,DOWN,0.513,10.953
7.100,71,DOWN,0.508,11.086
7.200,72,DOWN,0.516,11.034
7.300,73,DOWN,0.509,11.076
7.400,74,DOWN,0.507,11.063
7.500,75,DOWN,0.508,11.261
7.600,76,DOWN,0.511,11.401
7.700,77,DOWN,0.506,11.198
7.800,78,DOWN,0.507,11.249
7.900,79,DOWN,0.506,11.122
8.000,80,DOWN,0.504,11.203
8.100,81,DOWN,0.508,11.291
8.200,82,DOWN,0.509,11.154
8.300,83,DOWN,0.511,11.027
8.400,84,DOWN,0.509,11.356
8.500,85,DOWN,0.503,11.257
8.600,86,DOWN,0.512,11.125
8.700,87,DOWN,0.512,11.536
8.800,88,DOWN,0.505,11.351
8.900,89,DOWN,0.504,11.218
9.000,90,DOWN,0.504,11.424
9.100,91,DOWN,0.509,11.034
9.200,92,DOWN,0.507,11.170
9.300,93,DOWN,0.508,10.958
9.400,94,DOWN,0.509,11.586
9.500,95,DOWN,0.506,11.137
9.600,96,DOWN,0.508,11.180
9.700,97,DOWN,0.503,11.112
9.800,98,DOWN,0.503,11.280
9.900,99,DOWN,0.506,11.406
10.000,100,DOWN,0.509,11.503
10.100,101,DOWN,0.508,10.889
10.200,102,DOWN,0.509,10.897
10.300,103,DOWN,0.514,11.186
10.400,104,DOWN,0.508,10.686
10.500,105,DOWN,0.505,10.745
10.600,106,DOWN,0.510,10.866
10.700,107,DOWN,0.511,11.186
10.800,108,DOWN,0.510,11.150
10.900,109,DOWN,0.513,11.190
11.000,110,DOWN,0.509,10.897
11.100,111,DOWN,0.504,11.370
11.200,112,DOWN,0.506,10.979
11.300,113,DOWN,0.508,10.938
11.400,114,DOWN,0.510,11.090
11.500,115,DOWN,0.504,10.895
11.600,116,DOWN,0.511,11.240
11.700,117,DOWN,0.506,10.768
11.800,118,DOWN,0.508,10.876
11.900,119,DOWN,0.507,10.645
12.000,120,DOWN,0.508,11.391
12.100,121,DOWN,0.509,11.052
12.200,122,DOWN,0.504,11.263
12.300,123,DOWN,0.511,11.256
12.400,124,DOWN,0.507,11.141
12.500,125,DOWN,0.507,11.234
12.600,126,DOWN,0.503,11.164
12.700,127,DOWN,0.503,11.368
12.800,128,DOWN,0.510,11.455
12.900,129,DOWN,0.507,11.101
13.000,130,DOWN,0.503,11.308
13.100,131,DOWN,0.502,11.494
13.200,132,DOWN,0.509,11.573
13.300,133,DOWN,0.506,11.332
13.400,134,DOWN,0.501,11.365
13.500,135,DOWN,0.506,11.351
13.600,136,DOWN,0.510,11.366
13.700,137,DOWN,0.507,11.213
13.800,138,DOWN,0.508,11.524
13.900,139,DOWN,0.505,11.536
14.000,140,DOWN,0.505,11.324
14.100,141,DOWN,0.504,11.542
14.200,142,DOWN,0.509,11.477
14.300,143,DOWN,0.502,11.247
