Timestamp,Frame,Raw_gaze,Smooth_gaze,Horiz_Pos,Vert_Pos,Warmup_Frames
0.000,0,WARMUP,WARMUP,0.466,13.387,NONE
0.033,1,WARMUP,WARMUP,0.459,13.032,NONE
0.067,2,WARMUP,WARMUP,0.458,12.706,NONE
0.100,3,WARMUP,WARMUP,0.455,12.591,NONE
0.133,4,WARMUP,WARMUP,0.454,12.280,NONE
0.167,5,CENTER,CENTER,0.444,12.186,NONE
0.200,6,RIGHT,CENTER,0.435,12.146,NONE
0.233,7,RIGHT,CENTER,0.439,12.173,NONE
0.267,8,CENTER,CENTER,0.442,12.173,NONE
0.300,9,RIGHT,CENTER,0.439,12.089,NONE
0.333,10,RIGHT,RIGHT,0.440,12.132,NONE
0.367,11,RIGHT,RIGHT,0.437,12.157,NONE
0.400,12,RIGHT,RIGHT,0.434,11.823,NONE
0.433,13,RIGHT,RIGHT,0.433,11.844,NONE
0.467,14,RIGHT,RIGHT,0.433,11.814,NONE
0.500,15,RIGHT,RIGHT,0.429,11.882,NONE
0.533,16,RIGHT,RIGHT,0.430,11.943,NONE
0.567,17,RIGHT,RIGHT,0.428,12.122,NONE
0.600,18,RIGHT,RIGHT,0.429,12.107,NONE
0.633,19,RIGHT,RIGHT,0.431,12.077,NONE
0.667,20,RIGHT,RIGHT,0.434,12.023,NONE
0.700,21,RIGHT,RIGHT,0.432,12.065,NONE
0.733,22,RIGHT,RIGHT,0.431,12.139,NONE
0.767,23,RIGHT,RIGHT,0.431,12.222,NONE
0.800,24,RIGHT,RIGHT,0.429,12.283,NONE
0.833,25,RIGHT,RIGHT,0.426,12.290,NONE
0.867,26,RIGHT,RIGHT,0.422,12.153,NONE
0.900,27,RIGHT,RIGHT,0.420,12.229,NONE
0.933,28,RIGHT,RIGHT,0.420,12.056,NONE
0.967,29,RIGHT,RIGHT,0.416,12.139,NONE
1.000,30,RIGHT,RIGHT,0.416,11.884,NONE
1.033,31,RIGHT,RIGHT,0.416,11.788,NONE
1.067,32,RIGHT,RIGHT,0.415,11.758,NONE
1.100,33,RIGHT,RIGHT,0.415,11.760,NONE
1.133,34,RIGHT,RIGHT,0.415,11.809,NONE
1.167,35,RIGHT,RIGHT,0.415,11.828,NONE
1.200,36,RIGHT,RIGHT,0.414,11.999,NONE
1.233,37,RIGHT,RIGHT,0.416,12.118,NONE
1.267,38,RIGHT,RIGHT,0.417,12.074,NONE
1.300,39,RIGHT,RIGHT,0.416,11.925,NONE
1.333,40,RIGHT,RIGHT,0.415,11.891,NONE
1.367,41,RIGHT,RIGHT,0.393,10.306,NONE
1.400,42,RIGHT,RIGHT,0.427,6.748,NONE
1.433,43,DOWN,RIGHT,0.440,5.110,NONE
1.467,44,RIGHT,RIGHT,0.420,6.204,NONE
1.500,45,RIGHT,RIGHT,0.411,7.506,NONE
1.533,46,RIGHT,RIGHT,0.403,8.309,NONE
1.567,47,RIGHT,RIGHT,0.403,9.159,NONE
1.600,48,RIGHT,RIGHT,0.412,9.920,NONE
1.633,49,RIGHT,RIGHT,0.416,10.471,NONE
