Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,LEFT,0.684,15.840
0.100,1,LEFT,0.681,16.077
0.200,2,LEFT,0.671,16.055
0.300,3,LEFT,0.678,15.974
0.400,4,LEFT,0.685,16.041
0.500,5,LEFT,0.684,16.122
0.600,6,LEFT,0.680,15.927
0.700,7,LEFT,0.680,16.078
0.800,8,LEFT,0.671,15.968
0.900,9,LEFT,0.683,16.032
1.000,10,LEFT,0.692,15.845
1.100,11,LEFT,0.682,16.041
1.200,12,LEFT,0.671,16.126
1.300,13,LEFT,0.675,16.071
1.400,14,LEFT,0.683,15.914
1.500,15,LEFT,0.687,16.220
1.600,16,LEFT,0.680,16.154
1.700,17,LEFT,0.676,16.328
1.800,18,LEFT,0.675,16.392
1.900,19,LEFT,0.671,15.901
2.000,20,LEFT,0.671,16.063
2.100,21,LEFT,0.668,15.882
2.200,22,LEFT,0.675,15.790
2.300,23,LEFT,0.696,16.138
2.400,24,LEFT,0.681,16.120
2.500,25,LEFT,0.672,15.925
2.600,26,LEFT,0.678,16.085
2.700,27,LEFT,0.677,16.650
2.800,28,LEFT,0.670,16.255
2.900,29,LEFT,0.680,16.102
3.000,30,LEFT,0.675,16.080
3.100,31,LEFT,0.682,16.426
3.200,32,LEFT,0.682,16.427
3.300,33,LEFT,0.678,16.132
3.400,34,LEFT,0.676,15.762
3.500,35,LEFT,0.678,16.091
3.600,36,LEFT,0.669,15.695
3.700,37,LEFT,0.683,15.903
3.800,38,LEFT,0.682,15.942
3.900,39,LEFT,0.666,15.930
4.000,40,LEFT,0.669,15.856
4.100,41,LEFT,0.670,16.038
4.200,42,LEFT,0.668,16.137
4.300,43,LEFT,0.674,16.261
4.400,44,LEFT,0.675,15.822
4.500,45,LEFT,0.680,16.022
4.600,46,LEFT,0.684,16.314
4.700,47,LEFT,0.680,16.253
4.800,48,LEFT,0.665,15.831
4.900,49,LEFT,0.674,16.054
5.000,50,LEFT,0.666,16.158
5.100,51,LEFT,0.672,15.858
5.200,52,LEFT,0.678,15.945
5.300,53,LEFT,0.670,16.124
5.400,54,LEFT,0.674,15.860
5.500,55,LEFT,0.672,16.147
5.600,56,LEFT,0.673,15.900
5.700,57,LEFT,0.671,15.886
5.800,58,LEFT,0.670,16.363
5.900,59,LEFT,0.679,16.399
6.000,60,LEFT,0.679,16.318
6.100,61,LEFT,0.674,16.084
6.200,62,LEFT,0.671,15.830
6.300,63,LEFT,0.665,15.987
6.400,64,LEFT,0.665,16.083
6.500,65,LEFT,0.665,15.972
6.600,66,LEFT,0.684,16.337
6.700,67,LEFT,0.683,16.269
6.800,68,LEFT,0.678,15.901
6.900,69,LEFT,0.677,15.735
7.000,70,LEFT,0.684,16.173
7.100,71,LEFT,0.687,15.966
7.200,72,LEFT,0.684,15.914
7.300,73,LEFT,0.677,15.744
7.400,74,LEFT,0.681,16.266
7.500,75,LEFT,0.668,16.109
7.600,76,LEFT,0.683,15.920
7.700,77,LEFT,0.680,16.125
7.800,78,LEFT,0.683,15.933
7.900,79,LEFT,0.674,15.958
8.000,80,LEFT,0.674,15.858
8.100,81,LEFT,0.685,15.890
8.200,82,LEFT,0.676,15.687
8.300,83,LEFT,0.674,16.048
8.400,84,LEFT,0.681,16.091
8.500,85,LEFT,0.679,15.453
8.600,86,LEFT,0.678,16.082
8.700,87,LEFT,0.678,15.708
8.800,88,LEFT,0.675,16.333
8.900,89,LEFT,0.671,16.398
9.000,90,LEFT,0.667,16.372
9.100,91,LEFT,0.667,15.810
9.200,92,LEFT,0.666,15.850
9.300,93,LEFT,0.667,16.065
9.400,94,LEFT,0.677,15.980
9.500,95,LEFT,0.671,16.117
9.600,96,LEFT,0.675,16.029
9.700,97,LEFT,0.673,16.186
9.800,98,LEFT,0.677,15.880
9.900,99,LEFT,0.672,15.959
10.000,100,LEFT,0.677,16.254
10.100,101,LEFT,0.666,16.071
10.200,102,LEFT,0.677,16.068
10.300,103,LEFT,0.671,16.001
10.400,104,LEFT,0.668,16.213
10.500,105,LEFT,0.668,16.342
10.600,106,LEFT,0.675,16.402
10.700,107,LEFT,0.674,16.065
10.800,108,LEFT,0.676,15.925
10.900,109,LEFT,0.680,16.181
11.000,110,LEFT,0.669,16.146
11.100,111,LEFT,0.673,15.861
11.200,112,LEFT,0.671,15.817
11.300,113,LEFT,0.664,15.867
11.400,114,LEFT,0.671,15.693
11.500,115,LEFT,0.670,16.147
11.600,116,LEFT,0.684,16.051
11.700,117,LEFT,0.668,15.972
11.800,118,LEFT,0.680,16.288
11.900,119,LEFT,0.671,16.000
12.000,120,LEFT,0.680,16.361
12.100,121,LEFT,0.684,16.510
12.200,122,LEFT,0.685,16.466
12.300,123,LEFT,0.677,16.380
12.400,124,LEFT,0.689,16.219
12.500,125,LEFT,0.680,15.896
12.600,126,LEFT,0.675,16.161
12.700,127,LEFT,0.679,16.210
12.800,128,LEFT,0.685,16.031
12.900,129,LEFT,0.681,16.073
13.000,130,LEFT,0.674,15.822
13.100,131,LEFT,0.677,15.907
13.200,132,LEFT,0.669,16.277
13.300,133,LEFT,0.685,15.970
13.400,134,LEFT,0.675,16.192
13.500,135,LEFT,0.674,16.103
13.600,136,LEFT,0.671,16.168
13.700,137,LEFT,0.676,16.162
13.800,138,LEFT,0.686,16.075
13.900,139,LEFT,0.686,15.960
14.000,140,LEFT,0.678,16.164
14.100,141,LEFT,0.671,16.101
14.200,142,LEFT,0.670,16.240
14.300,143,LEFT,0.678,16.303
