Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,CENTER,0.565,13.385
0.033,1,CENTER,0.536,14.294
0.067,2,CENTER,0.536,13.319
0.100,3,CENTER,0.532,13.779
0.133,4,CENTER,0.540,13.718
0.167,5,CENTER,0.535,13.714
0.200,6,CENTER,0.540,14.422
0.233,7,CENTER,0.535,14.065
0.267,8,CENTER,0.532,14.136
0.300,9,CENTER,0.541,14.611
0.333,10,CENTER,0.540,14.266
0.367,11,CENTER,0.542,14.561
0.400,12,CENTER,0.538,13.615
0.433,13,CENTER,0.540,14.300
0.467,14,CENTER,0.538,14.134
0.500,15,CENTER,0.546,14.264
0.533,16,CENTER,0.545,13.719
0.567,17,CENTER,0.542,13.832
0.600,18,CENTER,0.544,13.947
0.633,19,CENTER,0.540,14.286
0.667,20,CENTER,0.544,14.455
0.700,21,CENTER,0.544,14.065
0.733,22,CENTER,0.546,14.078
0.767,23,CENTER,0.549,14.067
0.800,24,CENTER,0.549,14.196
0.833,25,CENTER,0.551,13.728
0.867,26,CENTER,0.547,14.090
0.900,27,CENTER,0.551,13.687
0.933,28,CENTER,0.550,14.173
0.967,29,CENTER,0.559,14.421
1.000,30,CENTER,0.550,13.681
1.033,31,CENTER,0.552,13.985
1.067,32,CENTER,0.559,13.555
1.100,33,CENTER,0.548,13.475
1.133,34,CENTER,0.547,14.333
1.167,35,CENTER,0.541,13.912
1.200,36,CENTER,0.545,13.494
1.233,37,CENTER,0.542,13.611
1.267,38,CENTER,0.539,13.748
1.300,39,CENTER,0.535,13.105
1.333,40,CENTER,0.541,14.050
1.367,41,CENTER,0.535,13.476
1.400,42,CENTER,0.534,13.545
1.433,43,CENTER,0.534,13.958
1.467,44,CENTER,0.536,13.904
1.500,45,CENTER,0.539,13.957
1.533,46,CENTER,0.538,14.015
1.567,47,CENTER,0.535,13.285
1.600,48,CENTER,0.531,14.026
1.633,49,CENTER,0.534,14.281
1.667,50,CENTER,0.530,13.920
1.700,51,CENTER,0.534,13.428
1.733,52,CENTER,0.541,13.831
1.767,53,CENTER,0.531,13.478
1.800,54,CENTER,0.529,13.961
1.833,55,CENTER,0.539,13.871
1.867,56,CENTER,0.533,13.792
1.900,57,CENTER,0.530,13.769
1.933,58,CENTER,0.524,14.180
1.967,59,CENTER,0.527,13.958
2.000,60,CENTER,0.537,14.189
2.033,61,CENTER,0.526,13.741
2.067,62,CENTER,0.522,14.028
2.100,63,CENTER,0.520,14.111
2.133,64,CENTER,0.519,14.083
2.167,65,CENTER,0.517,14.254
2.200,66,CENTER,0.517,13.762
2.233,67,CENTER,0.518,14.219
2.267,68,CENTER,0.520,14.085
2.300,69,CENTER,0.521,14.436
2.333,70,CENTER,0.517,14.066
2.367,71,CENTER,0.510,13.723
2.400,72,CENTER,0.522,13.635
2.433,73,CENTER,0.514,13.604
2.467,74,CENTER,0.509,13.876
2.500,75,CENTER,0.511,13.838
2.533,76,CENTER,0.515,14.143
2.567,77,CENTER,0.515,13.908
2.600,78,CENTER,0.516,13.982
2.633,79,CENTER,0.509,13.708
2.667,80,CENTER,0.514,14.097
2.700,81,CENTER,0.513,13.974
2.733,82,CENTER,0.514,14.078
2.767,83,CENTER,0.511,14.407
2.800,84,CENTER,0.510,14.409
2.833,85,CENTER,0.505,14.253
2.867,86,CENTER,0.505,13.932
2.900,87,CENTER,0.507,14.171
2.933,88,CENTER,0.505,14.128
2.967,89,CENTER,0.508,14.106
3.000,90,CENTER,0.508,13.974
3.033,91,CENTER,0.506,14.000
3.067,92,CENTER,0.500,14.208
3.100,93,CENTER,0.506,14.357
3.133,94,CENTER,0.511,14.661
3.167,95,CENTER,0.506,13.953
3.200,96,CENTER,0.510,14.307
3.233,97,CENTER,0.513,14.285
3.267,98,CENTER,0.509,13.995
3.300,99,CENTER,0.510,14.382
3.333,100,CENTER,0.510,14.222
3.367,101,CENTER,0.514,14.003
3.400,102,CENTER,0.508,14.569
3.433,103,CENTER,0.510,14.392
3.467,104,CENTER,0.508,13.943
3.500,105,CENTER,0.507,14.106
3.533,106,CENTER,0.509,14.102
3.567,107,CENTER,0.501,13.804
3.600,108,CENTER,0.494,14.129
3.633,109,CENTER,0.501,14.058
3.667,110,CENTER,0.499,14.086
3.700,111,CENTER,0.507,14.096
3.733,112,CENTER,0.502,14.236
3.767,113,CENTER,0.501,13.728
3.800,114,CENTER,0.493,14.175
3.833,115,CENTER,0.500,14.012
3.867,116,CENTER,0.490,13.974
3.900,117,CENTER,0.497,14.485
3.933,118,CENTER,0.495,14.061
3.967,119,CENTER,0.499,13.917
4.000,120,CENTER,0.490,13.468
4.033,121,CENTER,0.490,13.561
4.067,122,CENTER,0.491,14.000
4.100,123,CENTER,0.491,13.786
4.133,124,CENTER,0.484,13.367
4.167,125,CENTER,0.488,13.856
4.200,126,CENTER,0.494,13.548
4.233,127,CENTER,0.488,13.710
4.267,128,CENTER,0.491,13.981
4.300,129,CENTER,0.495,13.155
4.333,130,CENTER,0.489,13.243
4.367,131,CENTER,0.489,13.701
4.400,132,CENTER,0.489,13.835
4.433,133,CENTER,0.500,13.635
4.467,134,CENTER,0.496,13.507
4.500,135,CENTER,0.493,13.407
4.533,136,CENTER,0.497,13.777
4.567,137,CENTER,0.495,13.591
4.600,138,CENTER,0.494,13.301
4.633,139,CENTER,0.492,13.261
4.667,140,CENTER,0.494,13.571
4.700,141,CENTER,0.497,13.455
4.733,142,CENTER,0.493,13.446
4.767,143,CENTER,0.491,13.810
4.800,144,CENTER,0.482,13.017
4.833,145,CENTER,0.486,13.180
4.867,146,CENTER,0.491,13.830
4.900,147,CENTER,0.491,13.202
4.933,148,CENTER,0.485,13.347
4.967,149,CENTER,0.485,13.685
5.000,150,CENTER,0.488,13.890
5.033,151,CENTER,0.483,13.889
5.067,152,CENTER,0.483,13.706
5.100,153,CENTER,0.482,13.563
5.133,154,CENTER,0.479,13.943
5.167,155,CENTER,0.480,13.879
5.200,156,CENTER,0.477,14.037
5.233,157,CENTER,0.481,13.656
5.267,158,CENTER,0.482,13.582
5.300,159,CENTER,0.474,13.450
5.333,160,CENTER,0.475,13.655
5.367,161,CENTER,0.479,14.024
5.400,162,CENTER,0.477,13.449
5.433,163,CENTER,0.483,13.663
5.467,164,CENTER,0.473,13.344
5.500,165,CENTER,0.463,13.791
5.533,166,CENTER,0.471,13.487
5.567,167,CENTER,0.461,13.598
5.600,168,CENTER,0.471,13.568
5.633,169,CENTER,0.464,13.782
5.667,170,CENTER,0.473,13.597
5.700,171,CENTER,0.465,13.702
5.733,172,CENTER,0.462,13.567
5.767,173,CENTER,0.457,13.692
5.800,174,CENTER,0.457,13.591
5.833,175,CENTER,0.459,13.788
5.867,176,CENTER,0.467,13.735
5.900,177,CENTER,0.463,13.332
5.933,178,RIGHT,0.447,13.859
5.967,179,CENTER,0.452,14.185
6.000,180,CENTER,0.451,13.762
6.033,181,RIGHT,0.445,13.697
6.067,182,RIGHT,0.444,13.796
