Timestamp,Frame,Raw_gaze,Smooth_gaze,Horiz_Pos,Vert_Pos,Warmup_Frames
0.000,0,WARMUP,WARMUP,0.410,10.325,NONE
0.100,1,WARMUP,WARMUP,0.424,13.684,NONE
0.200,2,WARMUP,WARMUP,0.433,15.134,NONE
0.300,3,WARMUP,WARMUP,0.434,15.779,NONE
0.400,4,WARMUP,WARMUP,0.435,15.704,NONE
0.500,5,RIGHT,RIGHT,0.437,16.172,NONE
0.600,6,RIGHT,RIGHT,0.434,16.111,NONE
0.700,7,RIGHT,RIGHT,0.436,16.372,NONE
0.800,8,RIGHT,RIGHT,0.437,16.064,NONE
0.900,9,RIGHT,RIGHT,0.432,16.099,NONE
1.000,10,RIGHT,RIGHT,0.432,15.902,NONE
1.100,11,UP,RIGHT,0.451,15.124,NONE
1.200,12,UP,RIGHT,0.484,14.885,NONE
1.300,13,UP,RIGHT,0.502,14.970,NONE
1.400,14,UP,UP,0.508,15.195,NONE
1.500,15,UP,UP,0.514,15.548,NONE
1.600,16,UP,UP,0.519,15.684,NONE
1.700,17,UP,UP,0.519,15.629,NONE
1.800,18,UP,UP,0.524,15.595,NONE
1.900,19,UP,UP,0.528,15.818,NONE
2.000,20,UP,UP,0.531,16.063,NONE
2.100,21,UP,UP,0.525,15.941,NONE
2.200,22,UP,UP,0.525,15.598,NONE
2.300,23,UP,UP,0.527,15.572,NONE
2.400,24,UP,UP,0.529,15.634,NONE
2.500,25,UP,UP,0.533,15.834,NONE
2.600,26,UP,UP,0.532,15.973,NONE
2.700,27,UP,UP,0.534,15.947,NONE
2.800,28,UP,UP,0.535,15.542,NONE
2.900,29,UP,UP,0.536,15.455,NONE
3.000,30,UP,UP,0.536,15.389,NONE
3.100,31,UP,UP,0.533,15.567,NONE
3.200,32,UP,UP,0.535,15.643,NONE
3.300,33,UP,UP,0.534,15.659,NONE
3.400,34,UP,UP,0.527,15.537,NONE
3.500,35,UP,UP,0.525,15.664,NONE
3.600,36,UP,UP,0.532,15.901,NONE
3.700,37,UP,UP,0.532,15.976,NONE
3.800,38,UP,UP,0.537,16.096,NONE
3.900,39,UP,UP,0.532,15.822,NONE
4.000,40,UP,UP,0.537,16.038,NONE
4.100,41,UP,UP,0.539,16.143,NONE
4.200,42,UP,UP,0.536,16.112,NONE
4.300,43,UP,UP,0.536,16.317,NONE
4.400,44,UP,UP,0.527,15.962,NONE
4.500,45,UP,UP,0.525,15.748,NONE
4.600,46,UP,UP,0.524,15.875,NONE
4.700,47,UP,UP,0.522,15.877,NONE
4.800,48,UP,UP,0.521,15.861,NONE
4.900,49,UP,UP,0.526,15.864,NONE
5.000,50,UP,UP,0.527,15.615,NONE
5.100,51,UP,UP,0.528,15.720,NONE
5.200,52,UP,UP,0.530,15.799,NONE
5.300,53,UP,UP,0.533,16.106,NONE
5.400,54,UP,UP,0.532,16.101,NONE
5.500,55,UP,UP,0.532,16.149,NONE
5.600,56,UP,UP,0.529,15.950,NONE
