Timestamp,Frame,Direction,Horiz_Ratio,Vert_Ratio
0.000,0,RIGHT,0.432,12.928
0.100,1,RIGHT,0.429,12.873
0.200,2,RIGHT,0.447,12.944
0.300,3,RIGHT,0.447,12.917
0.400,4,RIGHT,0.442,12.983
0.500,5,RIGHT,0.443,12.728
0.600,6,RIGHT,0.446,12.804
0.700,7,RIGHT,0.444,12.797
0.800,8,RIGHT,0.448,12.736
0.900,9,RIGHT,0.449,12.649
1.000,10,RIGHT,0.445,13.129
1.100,11,RIGHT,0.439,12.959
1.200,12,RIGHT,0.444,12.703
1.300,13,RIGHT,0.441,12.949
1.400,14,RIGHT,0.444,12.681
1.500,15,RIGHT,0.440,12.754
1.600,16,RIGHT,0.445,12.762
1.700,17,RIGHT,0.445,12.914
1.800,18,RIGHT,0.446,12.886
1.900,19,RIGHT,0.448,12.846
2.000,20,RIGHT,0.441,13.043
2.100,21,RIGHT,0.446,12.940
2.200,22,RIGHT,0.449,13.272
2.300,23,RIGHT,0.443,12.917
2.400,24,RIGHT,0.437,13.110
2.500,25,RIGHT,0.446,12.898
2.600,26,RIGHT,0.442,12.763
2.700,27,CENTER,0.454,12.954
2.800,28,RIGHT,0.445,12.853
2.900,29,RIGHT,0.450,12.585
3.000,30,RIGHT,0.440,12.928
3.100,31,RIGHT,0.442,12.532
3.200,32,RIGHT,0.437,12.930
3.300,33,RIGHT,0.443,12.844
3.400,34,RIGHT,0.447,13.057
3.500,35,RIGHT,0.436,13.090
3.600,36,RIGHT,0.442,12.984
3.700,37,RIGHT,0.449,12.945
3.800,38,RIGHT,0.443,12.924
3.900,39,RIGHT,0.441,12.972
4.000,40,RIGHT,0.440,12.653
4.100,41,RIGHT,0.440,12.724
4.200,42,RIGHT,0.444,12.971
4.300,43,RIGHT,0.446,12.719
4.400,44,RIGHT,0.437,12.812
4.500,45,RIGHT,0.442,12.926
4.600,46,RIGHT,0.440,12.749
4.700,47,RIGHT,0.443,12.750
4.800,48,RIGHT,0.447,12.915
4.900,49,RIGHT,0.449,12.785
5.000,50,RIGHT,0.448,12.657
5.100,51,RIGHT,0.444,12.958
5.200,52,RIGHT,0.445,13.017
5.300,53,RIGHT,0.443,12.969
5.400,54,RIGHT,0.444,12.697
5.500,55,RIGHT,0.440,13.178
5.600,56,RIGHT,0.449,13.134
5.700,57,CENTER,0.452,12.885
5.800,58,RIGHT,0.435,13.009
5.900,59,RIGHT,0.441,13.156
6.000,60,RIGHT,0.445,12.955
6.100,61,RIGHT,0.440,13.054
6.200,62,RIGHT,0.440,12.741
6.300,63,CENTER,0.450,12.815
6.400,64,RIGHT,0.447,12.643
6.500,65,RIGHT,0.446,12.611
6.600,66,RIGHT,0.447,12.747
6.700,67,RIGHT,0.442,13.107
6.800,68,RIGHT,0.449,12.855
6.900,69,RIGHT,0.444,12.883
7.000,70,RIGHT,0.439,13.332
7.100,71,RIGHT,0.442,13.308
7.200,72,RIGHT,0.427,12.847
7.300,73,RIGHT,0.439,12.808
7.400,74,RIGHT,0.443,12.872
7.500,75,RIGHT,0.443,13.051
7.600,76,RIGHT,0.436,12.873
7.700,77,RIGHT,0.437,12.974
7.800,78,RIGHT,0.435,12.919
7.900,79,RIGHT,0.443,12.922
8.000,80,RIGHT,0.444,12.826
8.100,81,RIGHT,0.446,12.916
8.200,82,RIGHT,0.439,12.631
8.300,83,RIGHT,0.441,12.539
8.400,84,RIGHT,0.440,12.658
8.500,85,RIGHT,0.439,12.630
8.600,86,RIGHT,0.440,12.837
8.700,87,RIGHT,0.440,12.628
8.800,88,RIGHT,0.440,12.678
8.900,89,RIGHT,0.438,12.761
9.000,90,RIGHT,0.444,12.647
9.100,91,RIGHT,0.426,12.679
9.200,92,RIGHT,0.440,12.839
9.300,93,RIGHT,0.434,12.934
9.400,94,RIGHT,0.436,12.797
9.500,95,RIGHT,0.442,12.710
9.600,96,RIGHT,0.437,12.876
9.700,97,RIGHT,0.441,12.782
9.800,98,RIGHT,0.444,12.892
9.900,99,RIGHT,0.446,12.663
10.000,100,RIGHT,0.446,12.704
10.100,101,RIGHT,0.443,12.636
10.200,102,RIGHT,0.444,13.005
10.300,103,RIGHT,0.436,13.455
10.400,104,RIGHT,0.439,13.231
10.500,105,RIGHT,0.437,13.642
10.600,106,RIGHT,0.435,13.375
10.700,107,RIGHT,0.445,13.178
10.800,108,RIGHT,0.437,13.109
10.900,109,RIGHT,0.435,13.263
11.000,110,RIGHT,0.434,13.316
11.100,111,RIGHT,0.446,13.344
11.200,112,RIGHT,0.443,13.253
11.300,113,RIGHT,0.439,13.044
11.400,114,RIGHT,0.439,12.995
11.500,115,RIGHT,0.445,12.989
11.600,116,RIGHT,0.433,13.211
11.700,117,RIGHT,0.441,13.155
11.800,118,RIGHT,0.440,13.215
11.900,119,RIGHT,0.445,13.364
12.000,120,RIGHT,0.440,13.258
12.100,121,RIGHT,0.440,13.273
12.200,122,RIGHT,0.433,13.443
12.300,123,RIGHT,0.444,13.528
12.400,124,RIGHT,0.444,13.226
12.500,125,RIGHT,0.435,13.420
12.600,126,RIGHT,0.443,13.292
12.700,127,RIGHT,0.442,13.355
12.800,128,RIGHT,0.446,13.377
12.900,129,RIGHT,0.445,13.683
13.000,130,RIGHT,0.445,13.184
13.100,131,RIGHT,0.443,13.142
13.200,132,RIGHT,0.445,13.275
13.300,133,RIGHT,0.446,13.248
