Timestamp,Frame,Raw_gaze,Smooth_gaze,Horiz_Pos,Vert_Pos,Warmup_Frames
0.000,0,WARMUP,WARMUP,0.448,14.587,NONE
0.100,1,WARMUP,WARMUP,0.468,15.218,NONE
0.200,2,WARMUP,WARMUP,0.470,14.857,NONE
0.300,3,WARMUP,WARMUP,0.478,15.016,NONE
0.400,4,WARMUP,WARMUP,0.480,14.431,NONE
0.500,5,UP,UP,0.475,14.715,NONE
0.600,6,UP,UP,0.474,14.533,NONE
0.700,7,UP,UP,0.476,14.789,NONE
0.800,8,UP,UP,0.470,14.976,NONE
0.900,9,UP,UP,0.478,14.634,NONE
1.000,10,UP,UP,0.479,14.904,NONE
1.100,11,UP,UP,0.476,15.001,NONE
1.200,12,UP,UP,0.472,15.134,NONE
1.300,13,UP,UP,0.480,15.085,NONE
1.400,14,UP,UP,0.473,14.729,NONE
1.500,15,UP,UP,0.478,15.351,NONE
1.600,16,UP,UP,0.478,14.953,NONE
1.700,17,UP,UP,0.480,14.918,NONE
1.800,18,UP,UP,0.483,15.436,NONE
1.900,19,UP,UP,0.476,15.454,NONE
2.000,20,UP,UP,0.469,14.984,NONE
2.100,21,UP,UP,0.479,15.038,NONE
2.200,22,UP,UP,0.467,15.376,NONE
2.300,23,UP,UP,0.472,14.901,NONE
2.400,24,UP,UP,0.482,14.836,NONE
2.500,25,UP,UP,0.482,15.311,NONE
2.600,26,UP,UP,0.483,14.833,NONE
2.700,27,UP,UP,0.472,14.864,NONE
2.800,28,UP,UP,0.465,14.895,NONE
2.900,29,UP,UP,0.470,15.175,NONE
3.000,30,UP,UP,0.474,14.474,NONE
3.100,31,UP,UP,0.477,14.281,NONE
3.200,32,UP,UP,0.469,14.369,NONE
3.300,33,UP,UP,0.474,14.304,NONE
3.400,34,UP,UP,0.474,14.361,NONE
3.500,35,UP,UP,0.474,14.508,NONE
3.600,36,UP,UP,0.474,14.860,NONE
3.700,37,UP,UP,0.477,14.480,NONE
3.800,38,UP,UP,0.478,14.806,NONE
3.900,39,UP,UP,0.474,15.003,NONE
4.000,40,UP,UP,0.479,14.804,NONE
4.100,41,UP,UP,0.472,15.294,NONE
4.200,42,UP,UP,0.475,14.931,NONE
4.300,43,UP,UP,0.470,14.772,NONE
4.400,44,UP,UP,0.478,14.853,NONE
4.500,45,UP,UP,0.470,14.712,NONE
4.600,46,UP,UP,0.468,14.680,NONE
4.700,47,UP,UP,0.466,14.930,NONE
4.800,48,UP,UP,0.468,14.923,NONE
4.900,49,UP,UP,0.471,15.055,NONE
5.000,50,UP,UP,0.468,14.987,NONE
5.100,51,UP,UP,0.465,14.588,NONE
5.200,52,UP,UP,0.472,14.584,NONE
5.300,53,UP,UP,0.468,14.271,NONE
5.400,54,UP,UP,0.476,14.334,NONE
5.500,55,UP,UP,0.473,14.471,NONE
5.600,56,UP,UP,0.467,14.079,NONE
5.700,57,UP,UP,0.466,14.165,NONE
5.800,58,UP,UP,0.462,14.205,NONE
5.900,59,UP,UP,0.464,14.714,NONE
6.000,60,UP,UP,0.465,14.725,NONE
6.100,61,UP,UP,0.469,15.077,NONE
6.200,62,UP,UP,0.472,14.741,NONE
6.300,63,UP,UP,0.472,14.863,NONE
6.400,64,UP,UP,0.465,15.010,NONE
6.500,65,UP,UP,0.459,14.956,NONE
6.600,66,UP,UP,0.464,14.652,NONE
6.700,67,UP,UP,0.469,14.835,NONE
6.800,68,UP,UP,0.469,14.564,NONE
6.900,69,UP,UP,0.465,14.467,NONE
7.000,70,UP,UP,0.461,14.932,NONE
7.100,71,UP,UP,0.467,14.885,NONE
7.200,72,UP,UP,0.470,14.602,NONE
7.300,73,UP,UP,0.476,14.486,NONE
7.400,74,UP,UP,0.480,16.095,NONE
7.500,75,UP,UP,0.478,15.050,NONE
7.600,76,UP,UP,0.479,14.925,NONE
7.700,77,UP,UP,0.484,15.012,NONE
7.800,78,UP,UP,0.488,15.071,NONE
7.900,79,UP,UP,0.483,15.504,NONE
8.000,80,UP,UP,0.482,15.944,NONE
8.100,81,UP,UP,0.483,15.629,NONE
